エピソード 3
話題: リモートワークでのチームコミュニケーション
トリガー: 仕事
================================================================================

[A] 最近、リモートで全然意思疎通できてない気がするんだけど。みんなちゃんと確認してる？
[B] 確認してるつもりだけど、正直みんなの返信遅すぎて話にならないんだよね。こっちもイライラするわ。
[C] いや、そもそも何をいつまでに返せばいいのかも曖昧すぎるんだよ。こっちだって困ってるんだけど。
[ロボット] Bさん、Cさんで一度返信が欲しいタイミングだけ具体的にすり合わせてみると、きっとお互い楽になりますよ。
[A] そんなの毎回いちいち話し合うの面倒くさいでしょ。そもそも最低限のことは自分で考えて動いてほしいんだけど。
[B] いや、Aこそちゃんと状況見て動いてる？　なんで全部こっちに丸投げしてるみたいな言い方になるわけ？
[C] ほんとそれ。Aはいつも指示出すだけで、後は知らん顔だし、こっちが振り回されてる感しかないんだけど。
[ロボット] Cさん、Aさんにも今どう進めるのが一番助かるか率直に聞いてみると、きっとすれ違いが減っていくと思いますよ。
[A] 助かる進め方って言われても、毎回みんなの様子見て指示するのも正直めんどくさいんだよ。もう少し自分から動いてくれたらいいのにって思うけど。
[B] いや、こっちだって何も情報もらえない中で勝手に動けって言われても無理だから。それぞれのやり方押し付けすぎじゃない？
[C] AもBも勝手なことばっか言ってるし、結局誰もすり合わせしようとしないじゃん。どうせこのままじゃ何も変わらないでしょ。
[ロボット] Cさん、Bさんが感じている具体的なやりづらさを少し聞いてあげると、次の進め方が見えてきそうですね。
[A] 正直、具体的なやりづらさを聞いたところでまたグダグダ文句ばっか言われる気しかしないんだけど。どうせ話し合っても進まないでしょ。
[B] そうやって最初から諦めてるから何も進まないんじゃないの？文句じゃなくて本当に困ってることがあるから言ってるだけだし。
[C] 言いたいことがあるならさっさと具体的に言ってよ。こっちだって無駄に話伸ばしたくないんだけど。
[ロボット] Bさん、Cさんの今の状況をもう少し手伝えることがあれば遠慮なく言ってみると、きっと話が進めやすくなりますよ。
[A] じゃあ具体的に何が困ってるのか教えてよ。無駄なやり取りだけはほんと勘弁してほしいからさ。
[B] じゃあ言うけど、期日とか作業分担が曖昧すぎて毎回確認に時間かかってるし、情報共有もバラバラすぎて正直無駄が多いんだよ。
[C] それは正直わかるわ。情報がちゃんとまとまってないと、余計な確認ばっかり増えるしストレスしかないんだけど。
[ロボット] Cさん、Bさんが言ってくれた情報共有の部分を一緒に整理してみると、お互いかなり動きやすくなりそうですね。
[A] まぁ情報共有がぐちゃぐちゃなのは認めるけど、いちいち細かく整理する時間も正直きついんだよな。誰かまとめてくれるなら助かるけど。
[B] まとめるのも結局誰かに押し付ける感じになるのがイラつくんだよな。みんなでやれないの？
[C] 結局「みんなで」って言いながら、誰も率先してやらないし。押し付け合いばっかりで何も進まないじゃん。
[ロボット] Cさん、Bさんが言っているみんなで進めたいという気持ちを少し汲んで、どう分担すれば一番負担が少ないか一緒に考えてみるといいかもしれませんね。
[A] 分担って言っても、結局誰かが余計に負担背負うだけじゃない？自分の分すら手一杯だし、正直協力する余裕ないよ。
[B] いや、こっちだって余裕ない中でやってるのは一緒なんだけど？全部一人に押し付けるのだけは勘弁してよ。
[C] だから分担とか言ったって、結局みんな面倒なことはやりたくないだけでしょ？誰もやらないなら、もうこのままでいいんじゃないの。
[ロボット] Cさん、Bさんが言っているみんなでやるという部分をもう少し現実的に組み立てて、一緒に少しだけでも進めてみると雰囲気が変わりそうですね。
[A] でも「少しだけでも」って言われても、その少しがどこまでかすら決められないのが現実なんだよ。結局またグダグダになるだけじゃん。
[B] だったらせめて、今日中に分担決めるだけでもやろうよ。それすら無理ならもう何も変わらないでしょ。
[C] 分担くらいなら今決めても別にいいけど、決めたことがまた守られないならほんと意味ないからね。
[ロボット] Cさん、Bさんが言っている今日中に分担だけでも決めようという提案を一緒に形にしてみると、少し前向きに進められそうですね。
[A] 分担決めるだけならやるけど、ちゃんと守られるならって話だからな。どうせまた適当になるんじゃないの？
[B] 適当になるのが嫌だからちゃんと決めたいんだけど？守る気ないなら最初から言ってくれよ。
[C] 守る気はあるよ。けど、みんなでやるって言った以上、サボったり押し付け合いはマジでやめてほしいからな。
[ロボット] Cさん、Bさんが言っているちゃんと決めて守りたいという気持ちに少し寄り添って、どういう形ならお互い続けやすいか一緒に考えてみるといいかもしれませんね。
[A] 続けやすい形とか言っても、結局みんな自分の都合優先するだけじゃん。どうせまた誰かが文句言うんでしょ。
[B] 文句言うだけで何も変わらないのが一番イラつくんだけど？やるって決めたなら、ちゃんとやろうよ。
[C] まあ、やるって言うならちゃんとみんな責任持ってくれよ。結局またグダったら、ほんともう知らないからな。
[ロボット] Cさん、Bさんが言っているやるって決めたならちゃんとやろうという気持ちを少し受け取って、どう進めたら無理なく守れるか一緒に考えてみると良さそうですね。
[A] 「みんな責任持つ」って言うけど、今までだって結局誰かが抜けてたじゃん。本当にやる気あるんだったら最初から具体的に決めようよ。
[B] 具体的に決めるのは賛成だけど、また全部こっちに丸投げされるのだけは絶対やだよ。そこだけははっきりさせてよね。
