エピソード 1
話題: 理想のデートプランについて
トリガー: 恋愛
================================================================================

[A] 理想のデートとか言うけど、結局みんな自分勝手なことしか言わないじゃん。どうせまた意見合わないんでしょ。
[B] は？別に合わせる気もないし、どうせ言っても文句言われるだけでしょ。理想とか言われてもムカつくだけだわ。
[C] はぁ？そもそも理想のデートなんて話しても無駄じゃん。どうせケンカになるだけなんだから、意味ないでしょ。
[ロボット] Aさん、Cさんがもし少しだけお互いの理想を聞いてみたら、意外と共通するところが見つかるかもしれませんね。
[A] 共通点とか探す気も起きないんだけど。どうせ噛み合わないんだから、無理だって。
[B] 共通点とか言われても、今の雰囲気じゃ無理に決まってんだろ。なんかもう話すだけ疲れるし。
[C] 共通点とか探すの面倒だし、そもそも話しててイライラするだけなんだけど。正直、もうこの話やめたいくらいだわ。
[ロボット] Cさん、Aさんも少し疲れているみたいだから、二人で今は休憩しよっかって声かけ合う時間にしてみてもいいかもしれませんね。
[A] 休憩って言うけど、休んだところでどうせまた同じことで揉めるでしょ。正直、何話しても無駄な気しかしないんだけど。
[B] ほんとそれ。休憩したところで何も変わらないでしょ。どうせイライラするだけだし、無理に話す価値もないわ。
[C] 休憩とか言われても、結局また同じことになるだけだと思うし。もう何も期待できないわ。
[ロボット] Cさん、Aさんがもう無理かもって言ってるけど、少しだけAさんの気持ちを聞いてあげたら、話す空気が少し和らぐかもしれませんね。
[A] どうせ聞かれたところで変わらないし、無理して気持ち話す意味わかんないんだけど。みんな本音なんてどうでもいいんじゃないの？
[B] Aの言う通りだろ。本音話したって、どうせ誰も聞きやしないし、逆に面倒になるだけじゃん。
[C] どっちにしても、話したところで何も解決しないし、正直聞く気も起きないわ。ほんとに無駄な時間過ぎる。
[ロボット] Cさん、Aさんの無理かもって気持ちにはいろんな理由があると思うから、少しだけ何が一番しんどい？って聞いてみてもいいかもしれませんね。
[A] 一番しんどいのは、どうせ誰もちゃんと聞いてくれないって思うことだよ。話したって結局無駄になる感じがイライラするんだって。
[B] 正直、Aの気持ちにはちょっと共感するわ。どうせ言っても流されるし、話すだけ損って感じになるんだよな。
[C] まぁ、確かに、ちゃんと聞いてもらえない感じはムカつくよな。結局みんな自分のことしか考えてないって思うし。
[ロボット] Bさん、Cさんも今少し共感してるみたいだから、二人で何が一番流されて嫌だったかだけ共有してみるのはどうかな。
[A] 今さら少し共感されたって、正直どうでもいいんだけど。どうせまた適当に流すんでしょ。
[B] まあ、今さら感あるけど、とにかく毎回意見言っても誰も真剣に聞いてくれないのが一番むかつくわ。話しても意味ないって思っちゃうし。
[C] わかる、話したことすぐ流されるとイライラするよな。どうせ誰も本気で聞いてないって思っちゃうわ。
[ロボット] Cさん、Bさんも少しずつ同じ気持ちを話してくれてるから、その流されて嫌だった場面を一緒に振り返ってみると、ちょっと分かり合えるかもしれませんね。
[A] 分かり合えるとか言われても、今まで全然そうじゃなかったし、正直振り返る気にもならないんだけど。
[B] Aの言うことも分かるけど、結局今までまともに話聞いてもらった記憶なんてないし、振り返る気にもならないよ。どうせ同じことの繰り返しだろ。
[C] どうせ話してもまた誰かに流されるだけだし、振り返っても意味ないと思うわ。面倒くさいだけじゃん。
[ロボット] Cさん、Bさんが今まで話しても流されたと感じてきたことを、少しだけ聞いてみようって気持ちになれたら、きっとお互いの本音が伝わりやすくなると思いますよ。
[A] そんな簡単に気持ち切り替えられるわけないし、今さら本音言ったところでどうせ誰も本気で聞かないんじゃないの？
[B] Aの言う通りだって。結局、本音で話しても誰も変わらないし、また同じことの繰り返しになるだけじゃん。
[C] ほんとそれ。どうせ何言っても変わんないし、またイライラするだけだと思うし。もう話すだけ無駄じゃん。
[ロボット] Bさん、Aさんが今まで感じてきた聞いてもらえなかった気持ちって、ちょっとでも分かろうとしてもらえると嬉しいかもしれませんね。
[A] 分かろうとする気があるなら、今までみたいに適当に流さないでくれよ。どうせその場限りで終わりそうだけどな。
[B] どうせまた適当に流されるんだったら、わざわざ本音言う意味ないじゃん。ほんと、形だけの共感とかいらないし。
[C] 結局、形だけ共感されたって余計イライラするだけだし。本音言うだけ損な気しかしないわ。
[ロボット] Cさん、Bさんが本音を言っても意味がないって感じてるその気持ち、少しだけ受け止めてもらえると、ふたりの間の空気が少し穏やかになるかもしれませんね。
[A] 穏やかになったところで何が変わるの？どうせ静かになったら適当に流されるだけじゃん。
[B] Aの言う通り、穏やかになったって根本が変わらないなら意味ないし、結局また同じことの繰り返しになるだけでしょ。正直もう期待してないし。
[C] 正直、穏やかになろうが何も変わらないし、どうせまた誰かにイラッとさせられるだけだと思うんだけど。期待するだけ無駄じゃん。
[ロボット] Bさん、Aさんが今まで期待しては裏切られてきた気持ちを少しだけ理解しようとしてくれるだけで、Aさんにとっては大きな助けになると思いますよ。
[A] 理解しようとしてるなら、まず今までのことをちゃんと聞いてくれないと納得できないんだけど。口だけじゃ何も変わんないって分かってるよ。
[B] Aがそうやって文句言うだけなら、こっちだって聞く気なくなるし。本気で聞いてほしいなら、少しは態度変えてみれば？
[C] いや、そっちが態度変えたらこっちも考えるけど、今のままじゃ何話しても無駄でしょ。面倒くさいだけなんだって。
[ロボット] Cさん、Bさんが今は少し疲れてるだけかもしれないから、言葉よりも気持ちを汲み取ってあげるようにしてみると、少し話しやすくなると思いますよ。
[A] 結局こっちばっかり歩み寄れって言われても、なんで毎回自分だけ我慢しなきゃいけないわけ？それって全然フェアじゃないだろ。
[B] Aがそう言うなら、もうお互い我慢するだけの関係なんて続ける意味ないじゃん。本気でフェアにしたいなら、そっちも変わる努力しろよ。
[C] ほんとそれ。自分ばっかり我慢しても何も変わらないし、結局イライラするだけなんだよね。もう少しフェアにしてくれないと話す気にもならないわ。
[ロボット] Cさん、Bさんも本気でフェアに話したい気持ちは同じみたいだから、少しだけ歩み寄ってみるとお互いに楽になりそうですよ。
[A] 楽になるとか言われても正直ピンとこないし、そっちが本気かどうかも分かんないから歩み寄る気にもなれないんだけど。
[B] Aが疑ってるなら、こっちも無理して歩み寄る意味ないじゃん。結局、信じてもらえないなら無駄だし。
[C] なんか堂々巡りばっかりで話す気も失せるわ。結局誰も本気で変わる気ないんじゃないの？
[ロボット] Cさん、Bさんも本気で変わりたい気持ちはあると思うから、少しだけ話を聞いてみるとお互いに落ち着いて話せそうですよ。
[A] 結局「本気」とか言われても、口だけじゃ信じられないし、どうせまた同じことの繰り返しになるだけだろ。自分ばっかり疲れるのもう嫌なんだけど。
[B] Aがそう決めつけるなら、もう何話しても無駄だよな。どうせこっちの気持ちも理解しようとしないんだろ。
[C] ほんと、それならもう理想のデートプランとか考える意味なくない？どうせ誰も納得しないし。
[ロボット] Cさん、Bさんも理想のデートプランを考える気持ちはまだあると思うから、少し一緒にアイデアを出してみるのはどうですか。
[A] 一緒にアイデア出せって言われても、どうせまた文句ばっかりになるんじゃないの？正直、もううんざりなんだけど。
[B] どうせ何言っても否定されるだけなら、アイデア出す意味ないし。だったらもう何も言わなくていいじゃん。
[C] もう何話しても否定されるだけだし、アイデア出しても無駄でしょ。本当にやる気あるなら態度で示してよ。
[ロボット] Cさん、Bさんが本気で考えているアイデアを一度聞いてみると、きっと新しい視点が見えてくると思いますよ。
